Horizon,RMSE,MAE,R2,Correlation,Skill_vs_Persist
30min,98.53717041015625,56.06190872192383,0.787523627281189,0.8876014816451059,0.2780994299277235
45min,113.03375244140625,66.47975158691406,0.7206790447235107,0.849301801307723,0.3305257406357659
1h,124.36709594726562,74.91725158691406,0.661760151386261,0.8140049747945783,0.3600417340563443
75min,134.99659729003906,82.52815246582031,0.6026080250740051,0.776689022140988,0.36274132832563244
90min,144.58364868164062,89.8191146850586,0.5436182618141174,0.7378354209732612,0.3587930552630846
2h,158.71142578125,101.23682403564453,0.4483606219291687,0.6702255604763088,0.34092970859910243
3h,174.10104370117188,115.14127349853516,0.3322376608848572,0.5779470519663106,0.3157051491210835
