Horizon,RMSE,MAE,R2,Correlation,Skill_vs_Persist
30min,98.56682586669922,56.14728546142578,0.787395715713501,0.8875753513398895,0.2776648056334162
45min,112.5489730834961,66.3359146118164,0.7230697870254517,0.85061576872374,0.3362559908859629
1h,124.40789031982422,74.93575286865234,0.6615382432937622,0.8139066588504719,0.3596217994583397
75min,134.96109008789062,82.49430084228516,0.6028170585632324,0.7767773316430052,0.3630765288469826
90min,144.56314086914062,89.80477142333984,0.5437476634979248,0.7380736807235276,0.35897487818313667
2h,158.98159790039062,101.24546813964844,0.4464808702468872,0.6689076387937707,0.3386838902457272
3h,174.33091735839844,115.17382049560547,0.33047306537628174,0.5769503040983731,0.3138968912957055
