Horizon,RMSE,MAE,R2,Correlation,Skill_vs_Persist
30min,97.99107360839844,55.89077377319336,0.7904911041259766,0.8892211784684595,0.2874705537418306
45min,111.74626922607422,66.13139343261719,0.7281191945075989,0.8534871775079348,0.3482670638148654
1h,123.32763671875,74.69596099853516,0.6692805886268616,0.8182924078224153,0.3731731967489297
75min,134.2440643310547,82.37479400634766,0.6092992424964905,0.7807515523804716,0.3724560715516241
90min,143.25479125976562,89.3567123413086,0.554155707359314,0.7446708537408318,0.3725067740546124
2h,158.14305114746094,101.2144546508789,0.45481669902801514,0.6749267413518083,0.3471006872493384
3h,173.16912841796875,114.84141540527344,0.34164607524871826,0.58551578219202,0.322842158299501
